Country Name,Country Code,Indicator Name,GDP_2012,GDP_per_capita_2012
Other small states,OSS,GDP (current US$),4.21E+11,15464.65142
Pakistan,PAK,GDP (current US$),2.24E+11,1198.109001
Panama,PAN,GDP (current US$),40429700000,10722.28363
Peru,PER,GDP (current US$),1.93E+11,6528.972218
Philippines,PHL,GDP (current US$),2.50E+11,2572.629425
Palau,PLW,GDP (current US$),214648500,12168.28231
Papua New Guinea,PNG,GDP (current US$),21295834133,2790.699587
Poland,POL,GDP (current US$),5.00E+11,13145.53926
Pre-demographic dividend,PRE,GDP (current US$),1.31E+12,1684.116329
Puerto Rico,PRI,GDP (current US$),1.02E+11,27944.73389
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,
Portugal,PRT,GDP (current US$),2.16E+11,20577.40264
Paraguay,PRY,GDP (current US$),33283228891,5183.082877
West Bank and Gaza,PSE,GDP (current US$),11279400000,2834.021525
Pacific island small states,PSS,GDP (current US$),8148861957,3591.851379
Post-demographic dividend,PST,GDP (current US$),4.55E+13,42071.30822
French Polynesia,PYF,GDP (current US$),,
Qatar,QAT,GDP (current US$),1.87E+11,85076.14793
Romania,ROU,GDP (current US$),1.71E+11,8535.046876
Russian Federation,RUS,GDP (current US$),2.21E+12,15434.57478
Rwanda,RWA,GDP (current US$),7334917697,695.2740829
South Asia,SAS,GDP (current US$),2.30E+12,1364.441602
Saudi Arabia,SAU,GDP (current US$),7.36E+11,25243.3587
Sudan,SDN,GDP (current US$),68125631150,1882.24677
Senegal,SEN,GDP (current US$),17825417949,1330.057448
Singapore,SGP,GDP (current US$),2.95E+11,55546.48854
Solomon Islands,SLB,GDP (current US$),1063879451,1913.232022
Sierra Leone,SLE,GDP (current US$),3801862611,566.3786569
El Salvador,SLV,GDP (current US$),21386160000,3428.410386
San Marino,SMR,GDP (current US$),1800077091,56068.43455
Somalia,SOM,GDP (current US$),,
Serbia,SRB,GDP (current US$),43309252921,6015.945228
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1.63E+12,1781.425063
South Sudan,SSD,GDP (current US$),10368813559,1025.229925
Sub-Saharan Africa,SSF,GDP (current US$),1.64E+12,1782.408543
Small states,SST,GDP (current US$),5.00E+11,13672.58756
Sao Tome and Principe,STP,GDP (current US$),252560556,1340.526507
Suriname,SUR,GDP (current US$),4980000000,9201.008785
Slovak Republic,SVK,GDP (current US$),93413992956,17274.6423
Slovenia,SVN,GDP (current US$),46352802766,22532.43564
Sweden,SWE,GDP (current US$),5.44E+11,57197.19931
Eswatini,SWZ,GDP (current US$),4823831657,4469.457324
Sint Maarten (Dutch part),SXM,GDP (current US$),,
Seychelles,SYC,GDP (current US$),1060226126,12006.68296
Syrian Arab Republic,SYR,GDP (current US$),,
Turks and Caicos Islands,TCA,GDP (current US$),715722770,21009.88581
Chad,TCD,GDP (current US$),12368071039,967.408126
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.07E+13,5432.980876
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),4.61E+12,10356.86657
Togo,TGO,GDP (current US$),3873529926,571.8394289
Thailand,THA,GDP (current US$),3.98E+11,5860.58061
Tajikistan,TJK,GDP (current US$),7633049792,969.2964731
Turkmenistan,TKM,GDP (current US$),35164210526,6675.185658
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),5.94E+12,10102.29563
Timor-Leste,TLS,GDP (current US$),6661664575,5879.699782
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1.72E+12,5036.026187
Tonga,TON,GDP (current US$),472358251.2,4597.742305
South Asia (IDA & IBRD),TSA,GDP (current US$),2.30E+12,1364.441602
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1.64E+12,1782.408543
